idno,essround,male,age,edu,eth_major,income_10,cntry,vote,country,p5,cyear,ccode,scode,year,flag,fragment,democ,autoc
102,2010,0,15,2,1,NA,PT,3,Portugal,0,2352010,235,POR,2010,0,0,10,0
124106,2010,0,15,2,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
3640,2010,0,15,2,1,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
107405,2010,0,15,2,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
15206,2010,0,15,2,1,NA,GR,3,Greece,0,3502010,350,GRC,2010,0,0,10,0
22738,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
15,2010,0,15,2,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
16264,2010,0,15,2,1,NA,IE,2,Ireland,0,2052010,205,IRE,2010,0,0,10,0
863,2010,0,15,2,1,NA,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
2207,2010,0,15,2,1,NA,GR,2,Greece,0,3502010,350,GRC,2010,0,0,10,0
20870,2010,0,15,2,1,NA,CY,3,Cyprus,1,3522010,352,CYP,2010,0,3,10,0
1047,2010,0,15,2,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
1530,2010,0,15,2,1,NA,FR,3,France,1,2202010,220,FRN,2010,0,0,10,0
1897,2010,0,15,2,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
205062,2010,0,15,2,1,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
24929632,2010,0,15,2,1,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
446812,2010,0,15,2,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
17238,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
767,2010,0,15,2,1,NA,IL,2,Israel,0,6662010,666,ISR,2010,0,3,7,1
